,userName,content,score,at
0,Doddy Wahyuwono,"Hi dev and product team, please remove the animation when ordering food. It doesn't support any functionality. Rather, directly displaying the old, real-time map view is more useful because I can ensure that the location is correct and it lets me know the driver's location. Please, don't be all style no substance.",2,12/15/2023 16:12
1,Elda Mahaindra,"Hi, developer, could you please remove the animations for preparing and packing food and instead display the map? Confirming my location, whether I've pinpointed it correctly or not, becomes more challenging because the app doesn't show the map. I often use saved locations, but the location shifts, and I can't confirm it until the driver leaves the restaurant.",5,10/22/2023 5:51
2,frecklixx_,"It is too slow to open and process the app. I face some errors too. Recently, I wanted to use Gojek this morning, but after waiting for a while, I still couldn't open the status detail. It turned out there was no order from the driver's app. So I updated the app, clicked the 'order' button again, but it was the same. Please fix the errors and bugs. [Edited] I read a review that the new update is kinda heavy, I agree with them. With more features, the updated app would be more heavy to use.",2,9/12/2023 2:24
3,Yohana Sitanggang,"It crashed a lot. I ended up causing a driver waiting for me for a long time outside my door, but the application was crashing, showing the cooking food display (in a frozen state. But my poo poo brain thought the restaurant still cooking). It crashed a lot for no reason as well. I've re-installed gojek, and it still happened. I wonder is it my device problem or not?",2,10/15/2023 14:08
4,リン赤沢,"I'm absolutely furious with this statement. ""No internet connection Internet not available please try again."" It's consistently like this, constantly having to reconnect to the internet. It's incredibly exasperating. Don't just concentrate on adding more features, address the connectivity problem as well. For instance, if there's a certain transaction that can't be completed, use a different notification, instead of one that makes no sense.",1,11/7/2023 10:06
5,Steven Kurniawan,Subscription auto renews without option to decline (when buying subscriptions). Doesn't say explicitly either that it auto renews. Prices are expensive if you don't have subscriptions. Has many additional charges. Aside from the standard ones. Not to mention they don't remind u with any kind of notifications when they renew your subscriptions. As if hoping that u forget about it.,1,11/14/2023 5:23
6,Nastashia Angelina,"There is a persistent bug that won't let me open the details of my order or cancel them. I can only open the chat with the driver without being able to see where the driver is, i can't also reach out to the driver. ""Oops, your order details couldn't be loaded"" was the prompt shown, even though I was just ordering normally as I always had. Major inconvenience.",1,9/12/2023 2:10
7,Reynaert Pane,"Crashes all the time since the last 2 or 3 versions. Usually happens when confirming order or when the app is about to show the map. Please don't tell me it's my connection because it is not. I have to force close and reopen just to make sure my orders go through, reorder if they are not, etc. It's getting tiring. Please fix this.",2,10/23/2023 14:34
8,LyPhi,"Worst update yet, App Freezes occasionally at that point there is nothing i can do other than force closing the app then relaunch it right after, also i can't even add any debit card anymore it just keeps on looping on the verification i entered everything correctly but it won't save anything thankfully they don't charge me for the failed transactions, anyway it works just fine in the previous versions.",1,10/9/2023 5:04
9,Adli Hadiyan Munif,"I'm honestly disappointed with these app cause the more years come, the more heavier it is. I've tried to downgraded to old version and it's lighter, but there's notification that reminds me to upgrade the apps to latest cause it's gonna be deactivated. I mean, the latest version is so slow and heavy. It need 1-2 minutes after opening till home screen, then 2-3 min to choose a service. Kinda disappointed because I've been using their service since 3-5 years ago, and it's not friendly anymore.",1,11/23/2020 15:13
10,Annas Rizki Kurnia,"To be honest, the whole is great, in general. But when you get into the chat feature to talk with the driver, the new feature of suggested messages is just one of the worst experiences. Too many accidental messages was sent and throws the usual habit of start typing right away. Really dissapointed beyond measure, but can only bear with it for now. Please do take into consideration the actual implementation of this feature for some people. Thank you, and I do apologize for the long message.",4,8/9/2020 8:46
11,Chiii,"It sucks. For a big company, they don't have person to verify data, so it's really hard to upgrade to gopay plus because it only uses machine. The reason when the upgrade's failed is not detailed too, doesn't tell which part of the point that make it's failed. The CS is not a help either, just says the same thing without solution. Also, the app always takes the farthest route or wrong route, unlike in google maps, and confuses both driver and customer.",1,1/23/2021 3:10
12,April L.,"Hi Gojek, great work so far. To me, the new UI has too much clutter. I've always preferred a simple, sleek, and practical UI. It also won't show me whether the app has successfully processed the tips for my drivers. The tip amount isn't even added to the receipt. I receive no notifications about it either. Rating/tip notifs keep popping up twice even under the conditions of a fully working internet source. I hope you guys will fix this soon.",3,6/6/2020 14:34
13,my Gembul,"1. So slow to load. 2. Drivers sometimes can't adjust total final prices (if items are not available or if I need to add more items after ordering), it's not as flexible as it was. Your flexibility was one of the reasons I used it more than Grab app. 3. Tipping drivers. NO longer shows the amount in the history. I have to calculate it to make sure the tips are already included. Very annoying because I often place several orders at one time! 4. Can't reorder,unless items/amounts are 100% the same",2,12/2/2020 4:23
14,Karel Bondan,"I definitely love gojek, but not that much love for the app. I prefer the old UI & UX tbh. Sure it looks more modern and such for the new update, but it's harder to navigate. And, the new update is kinda heavy(?) compared to the old one. It has slight lags although I have a quite good phone. Also, the one thing that's kinda annoying is everytime I open the app, it always says to turn on my location service although it's been turned on at the time I open the app. It's a small bug, but it sure is getting annoying overtime. A suggestion from me, simplify the UI & UX again, and don't make the app too heavy for phones to handle, I mean, not everyone is using a high-end spec phone. You don't want people's phone to be able to cook a food, right? I'd surely change the ratings if all of these gets fixed... hopefully...",3,9/10/2020 7:43
15,Fauzan Permana,"Dude please bring the old UI back, it's great and if you're trying to do a better one, tbh it's not working. I can't find stuffs. Also the app is sometimes sooooo heavy and buggy chomping on RAMs. Do a lighter one, like we can't really explore anything on the app when it's too inconvenience to maneuver you know. So your goal to improve the UX pretty much isn't working.",2,6/7/2020 4:07
16,Claus Siagian,"It's going down since ever. Less promotion or even if there is one, it is not really worth it. Kinda harder too to use since it is updating it's ui like every once in a while. Have to uninstalled it until it is better. And it's so complicated to delete your gojek account because it is not in the menu and you have to contact the customer service even just via email. Really need a major problem solving.",1,11/4/2020 14:52
17,A Google user,"This should be a good app. But it's getting more pricey, even when the location is very close to my address. Then it's very difficult to find a driver on the rainy day. I think they don't give a raincoat for their driver. And one more problem is they use GPS, but the location pick up seems always incorrect. Driver sometimes get lost when trying to pick me up at my house. Pls fix it. 😕😕",1,2/16/2020 3:19
18,Prayoga Limantara,"Good service. Decent app. Seriously, how hard it is for Gojek to add some saved/favorite places feature on its app? It will save time for the costumer & the driver as well. The GPS service in Indonesia is not that good, so pinpoint a location on the map is not effective. Not all people could point their exact current location on a 2D map in an area with poor GPS service. Plus, the address description generates by the map will mostly be different than the actual address. It's so confusing!",3,11/17/2020 1:46
19,ilham adi gunawan,"Before adding so much content and feature on your app, please fix the lagging and crashing issues. I've been using this app for a long while and i install and uninstall it for several time because of lag, black screen, and crash. It doesn't help when the new update came and so much content being added but the optimization is terrible. Also graphic design is nice but too much of it feel cluttered and a sore in the eye. But this one probably just my taste. Please fix it, thanks.",1,12/13/2021 14:54
20,Cheesy Andawsome,"I hate to say this, but since the app was updated with new UI/UX (am I right?), it lagging soooo much! I thought the caused by my phone or memory internal or something else. Then, I realized that everyone's complaining too on social media. Please, bring it back to the 2018's design. The newest just made me stressful! 😡😭 I want a simple yet stylish design app for transport online, not a complicated app!",1,3/10/2021 15:28
21,Danny Dhaneswara,"1. The App is getting slower and slower. Been a while and thought the dev team would solve it soon, but man was I wrong. 2. The drivers' location won't even bothered to be updated after I: re-open the app, change my networks, refresh everything that I could've think of. It's been months now and I'm genuinely surprised that there's no change whatsoever. Might as well remove the drivers' location feature for good 3. Multiple purchase/payment failures for various purposes You can be better:)",3,9/26/2021 18:35
22,Diana Tri Wahyuni,"I have just experienced accidentally order the food. So I was in my checkout screen, then i realised that my gopay was not enough. Then I go to my mobile banking to topup. After that, I go back to my checkout screen and suddenly the food was just ordered. Even I didnt have a chance to change the payment method! Such a dissapointed app! The new UI is not great as before. It looks more beautiful but for UX is terrible! Even when I wanted to cancel the order, the CS was always busy!",1,1/25/2021 14:57
23,Hanif Firdaus,"The latest ui is confusing. I can't find current orders, notifications, etc. I also find difficult to choose gopay paylater. I have to scroll down the gopay menu to see the paylater menu, and it's soooo small. And i dont get the point why you add the illustrations when scroll down the home, it's unnecessary. Upgrading doesnt mean you have to put a lot of illustrations into it. I had a horrible experience using this version, lagging everywhere. Please bring back the old ui.",2,3/9/2021 6:38
24,R. A. Kayika Dewipraja,"Really appreciate this app design and it's simple. Helps a lot. Maybe just some bugs I've experienced, I accidentally (?) ordered 3x food in the same restaurant but with 3 different drivers. I assumed it happened because of the automatic driver search feature? So when the app hasn't update in both driver or my phone, it automatically looking for another driver and make me to paid 3x more to them. Overall, it's great.",4,3/26/2021 7:09
25,Eric Soedarto,"Cannot cancel order on 3 different occasions ( 2 go food, 1 go send ) even though the order was being on hold for 3 hours. Additionally, repeated experience with not getting a driver but the order has been sent, so it was processed for hours. Drivers did not respond, FAQ page was not helpful. Very frustrating experience. Gojek isnt as great as i remembered it. PS: The app has been very slow to open. Another thing to consider if you are in a hurry.",1,1/4/2021 14:03
26,Kintan Latifaningrum,"Gojek has been super slow lately! I changed my data provider three times thinking it was me, but it was not. Not only it is super annoying, it is also inconvenience due to the difficulties communicating with the driver. I dont know if its the app various feature thats slowing it down or something else. But, please please please fix this situation.",1,9/23/2021 11:00
27,Windy Aulia,"I love this app at the first, but lately feel so unsatisfied due several times got canceled in it services (gocar and gosend) after 20 minutes wait and had talk with the drivers. But seems they are not moving and after long wait being canceled. I thought for what it provided some promo or else but it make more hard to even get the services. Makes me want to move to the other app if it not being fix.",2,10/6/2021 7:11
28,Niken Saraswati,"I've been using this app for several years now and even categorized as the highest customer category with multiple orders daily. But suddenly my account was locked do to false detection of multiple account logins from my one device (which never happened, I never even log out from my account let alone log in with other accounts). Sadly the only solution from Gojek is to log in from different device (which I dont have) and no intention at all in investigating further their false detection!",2,7/8/2022 9:14
29,Fikri Hasnul,"The current policy is strange & burdensome for customers. For transfers, you have to upgrade ur gopay, I think it should be part of the basic features of gopay without the need to upgrade. You can make an alt policy, e.g if the transfers exceeds the max then upgrade to gopay plus. It's fine if the upgrade goes smoothly, but when the files are a little blurry, ur upgrade will fail. There are also some additional fees, including application service fees, etc. You still have gps & slowness prblm.",1,9/30/2021 11:57
30,Muhamad Haykal,"The latest version is actually not so bad, it's a lot better now than the first time Gojek change the overall look of the app. However, I found one quite annoying thing on the restaurant page of Gofood while you're using the search feature. The search column will automatically disappear when you delete what you type so you have to tap the Binocular icon again every single time you want to change your search. Small thing indeed but quite annoying, really. It's not the case of search feature on any other page of Gojek App. Hopefully, this little thing here will be fixed in the next update.",3,7/15/2021 6:06
31,Raine Alvin,"I use the service a lot, as was normal for a college girl who find it such a bother to go out and buy things for herself would. But the 'complaint' options are, in my opinion, too restricted. I've been meaning to raise a problem in regard to a specific route (which was the map problem), but there's only option for GPS accuracy. It isn't a big deal, but would surely save the driver some extra minutes of confusement.",5,3/1/2022 5:02
32,Adrian Natawidjaja,"Dumb algorithm, especially for cars. The algo will pick a driver that is close to you, but didn't consider the route the driver has to take to reach you. So, often you will get a driver that already passed your pickup point, forcing the driver to take a longer route turning back to reach the pickup point. This gives poor experience for both the driver and the rider (having to wait longer than needed).",2,10/3/2021 4:14
