Dominant_topic,Perc_Contrib,Topic_Keywords,Data_Lemmatized,Content,Aspect,Sentiment,Score
1,0.503,"driver, get, order, bad, time, customer, always, cancel, star, find","['dev', 'product', 'team', 'remove', 'animation', 'order', 'food', 'support', 'functionality', 'rather', 'directly', 'display', 'old', 'realtime', 'map', 'view', 'useful', 'ensure', 'location', 'correct', 'let', 'know', 'driver', 'location', 'style', 'substance']",dev product team remove animation order food support functionality rather directly display old realtime map view useful ensure location correct let know driver location style substance,Service,Negative,0.9985833168029785
1,0.691,"driver, get, order, bad, time, customer, always, cancel, star, find","['developer', 'remove', 'animation', 'prepare', 'pack', 'food', 'instead', 'display', 'map', 'confirm', 'location', 'pinpoint', 'correctly', 'become', 'challenge', 'show', 'map', 'often', 'use', 'save', 'location', 'location', 'shift', 'confirm', 'driver', 'leave', 'restaurant']",developer remove animation prepare pack food instead display map confirm location pinpoint correctly become challenge show map often use save location location shift confirm driver leave restaurant,Service,Negative,0.9981679916381836
2,0.468,"gopay, crash, keep, top, update, work, still, account, close, fix","['slow', 'open', 'process', 'app', 'face', 'error', 'recently', 'want', 'use', 'gojek', 'morning', 'wait', 'still', 'open', 'status', 'detail', 'turn', 'order', 'driver', 'update', 'app', 'click', 'order', 'button', 'fix', 'error', 'bug', 'edit', 'read', 'review', 'new', 'update', 'heavy', 'agree', 'feature', 'update', 'app', 'heavy', 'use']",slow open process app face error recently want use gojek morning wait still open status detail turn order driver update app click order button fix error bug edit read review new update heavy agree feature update app heavy use,Payment,Negative,0.9993732571601868
1,0.498,"driver, get, order, bad, time, customer, always, cancel, star, find","['crash', 'lot', 'end', 'cause', 'driver', 'wait', 'long', 'time', 'door', 'application', 'crash', 'show', 'cook', 'food', 'display', 'frozen', 'state', 'poo', 'poo', 'think', 'restaurant', 'still', 'cook', 'crash', 'lot', 'reason', 'well', 'reinstall', 'gojek', 'still', 'happen', 'wonder', 'device', 'problem']",crash lot end cause driver wait long time door application crash show cook food display frozen state poo poo think restaurant still cook crash lot reason well reinstall gojek still happen wonder device problem,Service,Negative,0.9967256784439087
2,0.453,"gopay, crash, keep, top, update, work, still, account, close, fix","['absolutely', 'furious', 'statement', 'internet', 'connection', 'internet', 'available', 'try', 'consistently', 'constantly', 'reconnect', 'internet', 'incredibly', 'exasperate', 'concentrate', 'add', 'feature', 'address', 'connectivity', 'problem', 'well', 'instance', 'certain', 'transaction', 'complete', 'use', 'different', 'notification', 'instead', 'make', 'sense']",absolutely furious statement internet connection internet available try consistently constantly reconnect internet incredibly exasperate concentrate add feature address connectivity problem well instance certain transaction complete use different notification instead make sense,Payment,Negative,0.9955450296401978
0,0.57,"good, app, service, great, gojek, use, easy, well, help, helpful","['subscription', 'auto', 'renew', 'option', 'decline', 'buying', 'subscription', 'say', 'explicitly', 'auto', 'renew', 'price', 'expensive', 'subscription', 'many', 'additional', 'charge', 'standard', 'one', 'mention', 'remind', 'kind', 'notification', 'renew', 'subscription', 'hope', 'forget']",subscription auto renew option decline buying subscription say explicitly auto renew price expensive subscription many additional charge standard one mention remind kind notification renew subscription hope forget,User Experience,Negative,0.9898024201393127
1,0.569,"driver, get, order, bad, time, customer, always, cancel, star, find","['persistent', 'bug', 'let', 'open', 'detail', 'order', 'cancel', 'open', 'chat', 'driver', 'able', 'see', 'driver', 'also', 'reach', 'driver', 'oop', 'order', 'detail', 'load', 'prompt', 'show', 'even', 'order', 'normally', 'always', 'major', 'inconvenience']",persistent bug let open detail order cancel open chat driver able see driver also reach driver oop order detail load prompt show even order normally always major inconvenience,Service,Negative,0.9994103908538818
1,0.562,"driver, get, order, bad, time, customer, always, cancel, star, find","['crash', 'time', 'last', 'version', 'usually', 'happen', 'confirm', 'order', 'app', 'show', 'map', 'tell', 'connection', 'force', 'close', 'reopen', 'make', 'sure', 'order', 'reorder', 'get', 'tiring', 'fix']",crash time last version usually happen confirm order app show map tell connection force close reopen make sure order reorder get tiring fix,Service,Negative,0.9976733326911926
2,0.557,"gopay, crash, keep, top, update, work, still, account, close, fix","['bad', 'update', 'app', 'freeze', 'occasionally', 'point', 'force', 'close', 'app', 'relaunch', 'right', 'also', 'even', 'add', 'debit', 'card', 'anymore', 'keep', 'loop', 'verification', 'enter', 'correctly', 'save', 'thankfully', 'charge', 'fail', 'transaction', 'anyway', 'work', 'fine', 'previous', 'version']",bad update app freeze occasionally point force close app relaunch right also even add debit card anymore keep loop verification enter correctly save thankfully charge fail transaction anyway work fine previous version,Payment,Negative,0.9937412142753601
0,0.349,"good, app, service, great, gojek, use, easy, well, help, helpful","['honestly', 'disappoint', 'app', 'cause', 'year', 'come', 'heavier', 'try', 'downgrade', 'old', 'version', 'light', 'notification', 'remind', 'upgrade', 'app', 'late', 'cause', 'go', 'deactivate', 'mean', 'late', 'version', 'slow', 'heavy', 'need', 'minute', 'opening', 'home', 'screen', 'min', 'choose', 'service', 'disappoint', 'use', 'service', 'year', 'ago', 'friendly', 'anymore']",honestly disappoint app cause year come heavier try downgrade old version light notification remind upgrade app late cause go deactivate mean late version slow heavy need minute opening home screen min choose service disappoint use service year ago friendly anymore,User Experience,Negative,0.9984005093574524
